Product, Price
"HP EliteBook 820 G3 Core I7 8GB-256GB SSD 6th Gen 12.5"" Refurbished Wi","KSh 29,999"
"HP Refurbished EliteBook 8440p Core I5, 4GB Ram, 500GB.","KSh 16,880"
"Lenovo V Series-Intel Celeron-256GB SSD+1TB HDD-4GB RAM-Windows 11-14""","KSh 32,599"
HP 250 G7 - 15.6″ - Intel Celeron - 4GB RAM - 500GB HDD - Win 10 - DVD,"KSh 32,349"
"Apple Refurbished MacBook Pro 13"" Core I5 8GB RAM, 1TB HDD ( 2012) 2.5","KSh 33,500"
"Lenovo Ideapad 3-15.6""-Intel Celeron-256GB SSD+1TB HDD-4GB RAM-Windows","KSh 35,599"
"HP EliteBook 810 G3,11.6"" Touchscreen Intel Core I5 8GB RAM 256GB SSD ","KSh 22,324"
"Lenovo Ideapad 3 Intel Celeron N4020 1.1GHZ 4GB 1TB 14"" Windows 11 Pla","KSh 29,499"
Lenovo Refurbished Thinkpad 11e Intel Celeron 4GB RAM 500GB HDD 11.6 I,"KSh 14,999"
"Lenovo ThinkPad X1 Carbon Refurbished Ultrabook 14"" Intel® Core™ I7 8G","KSh 30,999"
"HP Refurbished Elitebook 840 G3 6th Gen , Core I5, 8GB RAM- SSD 256GB ","KSh 27,999"
"HP Refurbished Elitebook 820 12.5"", Slim Intel Core I5 8GB, 500GB - Bl","KSh 22,950"
"HP Refurbished Stream 11 Pro - 11.6"" Intel Celeron 4GB RAM 64GB SSD Ul","KSh 14,499"
"Lenovo V14-Intel Celeron-1TB HDD-4GB RAM-Windows 10-14"" Display-Iron G","KSh 29,999"
"HP Stream 11 Pro Refurbished - 11.6"" Intel Celeron 4GB RAM 64GB SSD Ul","KSh 14,990"
DELL Refurbished 2120 Screen 10.1'' Storage 250GB HDD / 2GB RAM - WiFi,"KSh 11,999"
"HP Refurbished EliteBook 840 G3 Intel Core i5 6th Gen 8GB, 256GB SSD D","KSh 25,999"
HP Refurbished Elitebook 2560P - Core I5 - 320GB/4GB RAM - Sliver - 12,"KSh 15,999"
DELL Refurbished Latitude E7270 Core I7 8GB 256GB SSD 6th Gen 12.5 Inc,"KSh 29,990"
"HP Refurbished Revolve 810 Core I5 8GB RAM, 256GB SSD, 11.6""- Sliver +","KSh 21,799"
"DELL Refurbished Latitude 3350 Celeron Ram 4GB HDD 500GB 13.6"" Black","KSh 15,900"
HP REFURBISHED 840 G3 *TOUCH SCREEN* CORE I5 8GB 500 HDD 14'' INCHES 1,"KSh 29,999"
"Lenovo Refurbished Thinkpad X131e 12"" AMD 4GB RAM, 320GB HDD - Black","KSh 12,000"
"HP Refurbished Elitebook 820 Core I5, 8GB RAM 500GB HDD -12.5"", Black","KSh 21,799"
"DELL REFURBISHED DELL LATITUDE 3150,4GB,500 HDD +FREE WIRLESS MOUSE","KSh 15,999"
"Apple Refurbished MacBook Pro 13"" Core I5 2.5GHz 8GB RAM, 1TB HDD ( 20","KSh 32,499"
HP Refurbished EliteBook Revolve 810 G3-Core I5-8GB RAM + 256GB SSD-11,"KSh 24,499"
"HP HP-14 11th Gen Intel Core I3 8GB RAM,512ssd Windows 10 Brand New","KSh 41,999"
"HP Refurbished Elitebook 820 G3 6th Gen , Core I7, 8GB RAM-SSD 256GB -","KSh 28,499"
"Lenovo Refurbished Thinkpad X250 - Core I5 - 4GB - SSD 256GB - 12.5""- ","KSh 19,200"
Lenovo Refurbished Think Pad X270 Intel Core I5 -7300u 8GB RAM 256GB S,"KSh 21,000"
"HP Refurbished EliteBook 840 G2 5TH GEN , Core I5, 14"", 500HDD, 8GB RA","KSh 20,999"
"HP Refurbished EliteBook 840 G3 Core I5 8GB 256GB SSD 14"" Touchscreen ","KSh 30,990"
"Lenovo X131E REFURBISHED,4 GB RAM,HDD 320,INTL CELERON+ FREE WIRELESS ","KSh 15,000"
HP EliteBook 820 G3 Intel Core I5 6th Gen Refurbished 8GB-256GB SSD DO,"KSh 23,999"
"Lenovo Ideapad 3-15.6""-Intel Celeron-1TB HDD-4GB RAM-Windows 10-Grey+K","KSh 30,999"
"Lenovo ThinkPad X1 Carbon Refurbished Ultrabook 14"" Intel® Core™ I7 8G","KSh 30,999"
"DELL Refurbished Latitude E6430 Core I5-4GB RAM-500GB HDD- 14""-Black","KSh 18,999"
"Lenovo X131E REFURBISHED+FREE SLEEVE,HDD 320/RAM 4GB,INTE CELERON","KSh 13,500"
"DELL Refurbished Chromebook 11x360 3189, HDD 64GB SSD, RAM 4 GB,CHROME","KSh 13,290"
HP Elitebook 840 G1 8GB RAM 1 TB Storage Refurbished Intel Core I5,"KSh 28,900"
"Lenovo X131E REFURBISHED,4 GB RAM,HDD 320,INTEL ,WINDOWS","KSh 13,300"
Lenovo Refurbished Thinkpad X1 Carbon Core I7 8GB 256GB SSD 4th Gen 14,"KSh 31,899"
HP Elitebook 840 G1 8GB RAM 1 TB Storage Refurbished Intel Core I7,"KSh 34,000"
"HP Refurbished Elitebook 840 G3 6th Gen , Core I5, 8GB RAM- HDD 500GB ","KSh 26,399"
"DELL REFURBISHED DELL 5420/CORE I3/4GB/320HDD,14'' INCH/DVDW","KSh 14,000"
"Lenovo REFURBISHED THINKPAD YOGA 11E X360 RAM 4GB,128SSD,INTE+FREE WIR","KSh 16,500"
"Asus X543U, CORE I3-6TH GEN, 4GB RAM, 1 TB HDD, 15.6 INCH SCREEN, WIND","KSh 32,999"
"HP Refurbished EliteBook 8460p Core I5, 4GB Ram, 500GB + FREE BAG","KSh 17,300"
"HP Refurbished Elitebook 820 12.5"", Intel Core I5 8GB, 500GB - Black +","KSh 21,900"
"Lenovo Refurbished Thinkpad X140e 12"" AMD 4GB RAM, 320GB HDD - Black","KSh 13,640"
"HP 8th Gen Refurbished EliteBook 840 G5 Intel Core I5 16GB, 256 GB SSD","KSh 42,000"
"HP Refurbished Chromebook 11 G5 EE 4GB RAM 16GB HDD,CHROME OS,","KSh 12,999"
"HP Refurbished EliteBook 820 G1 12.5"", Slim Intel Core I5 4GB, 500GB +","KSh 19,000"
"HP ProBook X360 11 G2 , Intel Pentium, 4 GB RAM, 128 GB SSD, 11.6″ HD ","KSh 20,000"
"HP Refurbished ProBook X360 11E 4GB 128GB SSD 2-in-1 12"" Touchscreen U","KSh 16,999"
HP Revolve 810 Refurbished Coi5/ 8Gb RAM/256 SSD /Touchscreen/ Windows,"KSh 21,500"
"Apple Refurbished MacBook Pro 13"" Core I5 2.5GHz 4GB RAM, 500GB HDD ( ","KSh 27,999"
"DELL Refurbished E7389 Core I5 (7th Gen) 8GB ,256GBSsd, 3.1 In 1Conver","KSh 30,000"
Lenovo Refurbished TP Yoga 11e Touch Screen- Intel Celeron 4GB 500GB 1,"KSh 18,500"
"HP 15-DW1207NIA, 15.6"" - Intel Celeron-N4020 -500GB HDD - 4GB RAM - WI","KSh 31,799"
"DELL Refurbished Latitude E7450 Core I5,2.3Ghz,4GB ,128GB SSD 14"",i5-5","KSh 21,999"
"Raspberry Pi 4B Full Kit (2gb, 4gb Or 8gb) With Accessories","KSh 14,200 - KSh 19,500"
"HP Notebook 15-Intel Celeron (N Series)-512GB SSD+8GB RAM-15.6""-Window","KSh 38,995"
"HP Refurbished Elitebook 820 G3 Core I5 16GB RAM 1TB HDD 6th Gen 12.5""","KSh 35,000"
Lenovo Ideapad 3-Intel Celeron (N Series)-256GB SSD+1TB HDD-4GB RAM-Wi,"KSh 33,995"
Lenovo Refurbished Thinkpad Yoga 11e Touch Screen Intel Celeron 4GB 50,"KSh 18,900"
HP Refurbished Probook 6470b Intel Core I5 4GB RAM 500GB HDD - Grey 14,"KSh 17,999"
"Lenovo Refurb Lenovo11e - 11.6"" -Intel Celeron - 128GB SSD- 4GB RAM - ","KSh 15,299"
"Lenovo Refurbished ThinkPad X120e 11.6"" AMD E-350 2GB DDR3-SDRAM - 250","KSh 12,800"
"Lenovo Refurbished ThinkPad X131e 12.5"" Intel Celeron 4GB RAM, 320GB H","KSh 12,400"
"Asus TP412F, CORE I7-8TH GEN, 8GB RAM, 512GB SSD, X360,TOUCHSCREEN, ST","KSh 59,900"
"HP Refurbished EliteBook 8440p Core I5, 4GB Ram, 500GB + FREE Mouse","KSh 16,990"
"HP Refurbished Elitebook 820 G3 6th Gen , Corei5, 8GB RAM-1TB HDD -12.","KSh 25,999"
Asus X543M INTEL CELERON 4GB RAM 1000GB HDD WIN10 15.6 INCH WITH BAG A,"KSh 33,999"
"HP Refurbished EliteBook 840 G3 Core I5 8GB 256GB SSD 14"" Touchscreen ","KSh 32,999"
"Lenovo 14"" - Intel Celeron - 1TB HDD - 4GB RAM - Windows 10 - Black + ","KSh 29,999"
HP Refurbished EliteBook 8460P Core I5 - HDD 500GB - 8GB RAM WIFI CAM ,"KSh 18,999"
"HP 15-DW1207NIA, 15.6"" - Intel Celeron-N4020 -500GB HDD - 4GB RAM - WI","KSh 31,799"
"Apple Refurbished MacBook Pro 13"" Core I5 8GB RAM 1TB HDD 2.5GHz (2012","KSh 34,990"
"HP 8th Gen Refurbished EliteBook 840 G5 Intel Core I5 16GB, 256 GB SSD","KSh 42,000"
Lenovo THINKPAD YOGA 460 (20EM001LUS) LAPTOP (CORE I5 6TH GEN/8 GB/256,"KSh 25,000"
"HP Refurbished Elitebook 840 G5 8th Generation Core I5, 8GB RAM, 256GB","KSh 39,999"
Lenovo Refurbished Thinkpad X250 Intel Core I5 4 GB RAM 500 GB HDD 12.,"KSh 20,999"
"Lenovo V14-Intel Celeron-1TB HDD-4GB RAM-Windows 10-14"" Display-Iron G","KSh 36,999"
"HP Elite Pad 1000 G2 4gb Ram 64gb Rom, Windows 10","KSh 13,000"
"HP Refurbished Folio 9470m- 14"" Intel Core I5 4GB RAM 500GB HDD Win 10","KSh 23,999"
"HP REFURBISHED EliteBook 840 G1 Intel Core I5 14"" 8GB RAM 1TB HDD WIND","KSh 26,999"
"HP Refurbished EliteBook 840 G3 Intel Core I7 6th Gen 16GB, 256GB SSD-","KSh 35,999"
"HP Refurbished EliteBook 840 G1, Intel Core I7, 14"", 500GB HDD, 8GB RA","KSh 29,999"
"HP EliteBook 840 G3 Intel Core I5 8GB-256GB SSD 6th Gen Silver-14"" Ref","KSh 27,999"
"Lenovo Refurb Lenovo11e - 11.6"" -Intel Celeron - 128GB SSD- 4GB RAM - ","KSh 15,299"
"Lenovo Refurbished Thinkpad 11E NON TOUCH 12"" CELERON 4GB RAM, 500GB H","KSh 15,931"
"DELL Latitude E7240 Core I5, 8GB Ram, 256GB Ssd 12.5” Refurbished","KSh 21,999"
"Lenovo V14-Intel Celeron-1TB HDD-4GB RAM-Windows 10-14"" Display-Iron G","KSh 32,999"
"Lenovo Refurbished Thinkpad X250-Intel Core I5-4GB RAM-256GB SSD-12.5""","KSh 19,800"
HP MT42 Mobile Thin Client-AMD Pro A8 Quad Core 4GB RAM 500GB HDD/Refu,"KSh 19,999"
"Lenovo Ideapad 3-15.6""-Intel Celeron-256GB SSD+1TB HDD-4GB RAM-Windows","KSh 37,999"
HP REFURBISHED ZBOOK STUDIO CORE I7 16GB 512 SSD 4GB NVIDIA GRAPHICS C,"KSh 55,999"
"DELL Latitude E7480,14"" Laptop Core I7-7600U 2.8 GHz, 16GB RAM-DDR4, 5","KSh 56,999"
HP Refurbished EliteBook Revolve 810 G3-Intel Core I5-8GB RAM-256 SSD_,"KSh 23,999"
"HP 8460p Laptop 8GB RAM, Refurbished 1TB HDD - Core I5 - Silver","KSh 20,999"
"HP Refurbished Elitebook 820 G1, Core I5, 4GB RAM 500GB HDD -12.5"", Bl","KSh 19,999"
HP REFURBISHED ELITEBOOK *TOUCH SCREEN* 840 G3 6TH GEN CORE I5 8GB 500,"KSh 30,999"
Lenovo Ideapad 3-Intel Celeron (N Series)-1TB HDD-4GB RAM-Windows 10-1,"KSh 35,995"
"Lenovo REFURBISHED THINKPAD YOGA 11E X360,4GB,500 HDD","KSh 15,400"
